id,area_id,support_content,owner,access,is_foreign_ok,is_public,meta_words,appendix
1,1,生活一般・DV・性暴力などについて、電話・メール・チャットで相談できる,よりそいホットライン 一般社団法人社会的包摂サポート センター,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.since2011.net/"">公式ホームページをのぞいてみる</a></p> <p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://comarigoto.jp/"">チャット相談</a></p>",1,0,相談 DV 性暴力 女性,厚生労働省による補助を受けた事業です
2,1,生活一般・DV・性暴力などについて、チャットで相談できる,NPOあなたの居場所,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://talkme.jp"">公式ホームページをのぞいてみる</a></p> ",1,0,相談 DV 性暴力 女性,新聞やテレビで取材されています
3,18,入居時の連帯保証人や緊急連絡先の引き受け<br>住まい探し支援<br>生活一般について、電話・メールで相談できる<br>交流事業を開催,特定非営利活動法人自立生活サポートセンター・もやい,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.npomoyai.or.jp/organizationprofile"">公式ホームページをのぞいてみる</a></p> <p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.npomoyai.or.jp/koryu"">交流事業をのぞいてみる</a></p>",1,0,住居  相談  孤立,行政による審査を受けた「認定」NPOとなっています
4,18,食料の無料提供<br>生活一般について対面で相談できる<br>医療に関する相談をできる,新宿ご飯プラス,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""http://gohanplus.org/2021/01/30/1119"">公式ホームページをのぞいてみる</a></p>",1,0,食料 相談 医療,サイト運営者もボランティアとして参加したことがあります
5,18,炊き出し,山谷争議団,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://twitter.com/sanyadesu"">公式twitter</a></p>",1,0,食料,
6,18,生活一般について、電話・対面で相談できる<br>就職を支援<br>入居時の連帯保証人や緊急連絡先の引き受け<br>住まい探し支援<br>緊急の住まいを提供,東京チャレンジネット,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.tokyo-challenge.net/02_challenge.html"">公式ホームページをのぞいてみる</a></p>",0,1,仕事 住居 相談,
7,18,生活一般について、メール・対面で相談できる,反貧困ネットワーク,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.hanhinkon.com/"">公式ホームページをのぞいてみる</a></p>     <p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.hanhinkon.com/%E7%94%9F%E6%B4%BB%E7%9B%B8%E8%AB%87%E7%AA%93%E5%8F%A3/"">相談フォーム</a></p>",1,0,相談 生活費,テレビや新聞で取材されており、SOSをした人のもとに支援者が物資や生活費を届けに来てくれることがあります
8,18,食料の無料提供,セカンドハーベストジャパン,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""http://2hj.org/"">公式ホームページをのぞいてみる</a></p> <p><a target=""_blank"" rel=""noopener noreferrer""  href=""http://2hj.org/recipient/individualuse.html"">利用を考える方へ</a></p>",1,0,食料,
9,18,炊き出し,ひとさじの会,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.hitosaji.jp/"">公式ホームページをのぞいてみる</a></p>",1,0,食料,
10,18,就職を支援<br>緊急の住まいを提供,自立支援センター・ふるさとの会,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""http://www.hurusatonokai.jp/"">公式ホームページをのぞいてみる</a></p>",1,0,仕事 住居,
11,18,医療に関する相談をできる<br>炊き出し,あじいる,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://sumidairyo.wordpress.com/"">公式ホームページをのぞいてみる</a></p>",1,0,医療 食料,
12,18,医療に関する相談をできる<br>炊き出し,TENOHASHI（てのはし）,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://tenohasi.org/"">公式ホームページをのぞいてみる</a></p>",1,0,医療 食料,
13,18,医療に関する相談をできる<br>炊き出し<br>生活一般について対面で相談できる,のじれん（渋谷・野宿者の生存と生活をかちとる自由連合）,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://nojiren.wixsite.com/index"">公式ホームページをのぞいてみる</a></p>",1,0,医療 食料 相談,
14,18,生活一般について電話で相談できる,スープの会,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""http://www1.odn.ne.jp/soup1994/soup/supuno_hui_biao_zhi.html"">公式ホームページをのぞいてみる</a></p> <p>0120-110-241</p>",1,0,相談,
15,1,生活一般について、電話・チャットで相談できる,いきづらびっと,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://yorisoi-chat.jp/"">公式ホームページをのぞいてみる</a></p>",1,0,相談,厚生労働省による補助を受けた事業です
16,18,緊急の住まいを提供,東京アンブレラ基金,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://umbrellafund.tokyo/"">公式ホームページをのぞいてみる</a></p>  <p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://umbrellafund.tokyo/tsunagarudenwa"">問い合わせページ</a></p>",1,0,住居,
17,18,炊き出し<br>医療に関する相談をできる<br>生活一般について、対面・電話・メールで相談できる,山友会,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.sanyukai.or.jp/"">公式ホームページをのぞいてみる</a></p> <p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.sanyukai.or.jp/soudan"">問い合わせページ</a></p>",1,0,食料 医療 相談,
18,1,就職を支援<br>交流事業を開催,有限会社ビックイシュー日本,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.bigissue.jp/sell/"">ビックイシュー販売員について</a></p> <p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://bigissue.or.jp/action/guide/tokyo_recreation/"">交流事業を開催</a></p>",1,0,仕事 孤立,
19,18,就職を支援,都内のハローワーク,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://bigissue.or.jp/action/guide/tokyo_hellowork/"">都内のハローワークをまとめたサイト</a></p>",1,1,仕事,
20,1,無料または低額で医療を提供,全日本民医連,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://www.min-iren.gr.jp/"">無料・低額で医療を受けられる医療機関を探す</a></p>",1,0,医療,サイト運営者が主催者と話したことがあります
21,1,子ども食堂を開催する,こども食堂ネットワーク,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""http://kodomoshokudou-network.com/"">子ども食堂を検索する</a></p>",1,0,食料,昨今は大人も子ども食堂に参加できることが増えています
22,19,食料の無料提供,フードバンク川崎,"<p><a target=""_blank"" rel=""noopener noreferrer""  href=""https://fb-k.jp/"">フードバンク川崎</a></p>",1,0,食料,
