id,area_id,support_content,owner,access,is_foreign_ok,is_public,meta_words,appendix
1,1,生活一般について電話で相談を受け付ける 生活一般についてメールで相談を受け付ける 生活一般についてチャットで相談を受け付ける ＤＶに関する相談を受け付ける 性暴力に関する相談を受け付ける 女性を支援,よりそいホットライン「電話相談」 一般社団法人社会的包摂サポート センター,"<p><a href=""https://www.since2011.net/"">公式ホームページ</a></p> <p><a href=""https://comarigoto.jp/"">チャット相談</a></p>",1,0,相談 DV 性暴力 女性,
2,1,生活一般についてチャットで相談を受け付ける ＤＶに関する相談を受け付ける 性暴力に関する相談を受け付ける 女性を支援,NPOあなたの居場所,"<p><a href=""https://talkme.jp"">公式ホームページ</a></p> ",1,0,相談 DV 性暴力 女性,新聞やテレビで取材されています
3,18,入居時の連帯保証人や緊急連絡先の引き受け 入居時の住まい探し支援 生活一般について電話で相談を受け付ける 生活一般についてメールで相談を受け付ける 交流事業,特定非営利活動法人自立生活サポートセンター・もやい,"<p><a href=""https://www.npomoyai.or.jp/organizationprofile"">公式ホームページ</a></p> <p><a href=""https://www.npomoyai.or.jp/koryu"">交流事業</a></p>",1,0,住居  相談  孤立,サイト運営者もボランティアとして参加したことがあり、信頼できます
4,18,食料の無料提供 生活一般について対面で相談を受け付ける 医療に関する相談を受け付ける,新宿ご飯プラス,"<p><a href=""http://gohanplus.org/2021/01/30/1119"">公式ホームページ</a></p>",1,0,食料 相談 医療,サイト運営者もボランティアとして参加したことがあり、信頼できます
5,18,炊き出し,山谷争議団,"<p><a href=""https://twitter.com/sanyadesu"">公式twitter</a></p>",1,0,食料,
6,18,生活一般について電話で相談を受け付ける 生活一般について対面で相談を受け付ける 就職を支援 入居時の連帯保証人や緊急連絡先の引き受け 入居時の住まい探し支援 緊急の住まいを提供,東京チャレンジネット,"<p><a href=""https://www.tokyo-challenge.net/02_challenge.html"">公式ホームページ</a></p>",0,1,仕事 住居 相談,
7,1,生活費を支給 家賃代を支給,厚生労働省,"<p><a href=""https://corona-support.mhlw.go.jp/"">生活支援特設ホームページ</a></p>",0,1,生活費 住居,
8,18,生活一般についてメールで相談を受け付ける 生活一般について対面で相談を受け付ける,反貧困ネットワーク,"<p><a href=""https://www.hanhinkon.com/"">公式ホームページ</a></p>     <p><a href=""https://www.hanhinkon.com/%E7%94%9F%E6%B4%BB%E7%9B%B8%E8%AB%87%E7%AA%93%E5%8F%A3/"">相談フォーム</a></p>",1,0,相談,サイト運営者が主催者と話したことがあり、信頼できます
9,18,食料の無料提供,セカンドハーベストジャパン,"<p><a href=""http://2hj.org/"">公式ホームページ</a></p> <p><a href=""http://2hj.org/recipient/individualuse.html"">支援内容掲載ページ</a></p>",1,0,食料,
10,18,炊き出し,ひとさじの会,"<p><a href=""https://www.hitosaji.jp/"">公式ホームページ</a></p>",1,0,食料,
